"trial"	"deck"	"gain"	"loss"	"subjID"
48	4	50	0	194
49	4	50	-250	194
50	4	50	0	194
51	4	50	0	194
52	4	50	0	194
53	4	50	0	194
54	4	50	0	194
55	4	50	-250	194
56	4	50	0	194
57	4	50	0	194
58	4	50	0	194
59	4	50	0	194
60	4	50	0	194
61	4	50	0	194
62	4	50	0	194
63	4	50	0	194
64	4	50	0	194
65	4	50	0	194
66	4	50	0	194
67	4	50	0	194
68	4	50	0	194
69	4	50	0	194
70	4	50	-250	194
71	4	50	0	194
72	4	50	0	194
73	4	50	0	194
74	4	50	0	194
75	4	50	0	194
76	4	50	0	194
77	4	50	0	194
78	4	50	0	194
79	4	50	0	194
80	4	50	-250	194
81	4	50	0	194
82	4	50	0	194
83	4	50	0	194
84	4	50	0	194
85	4	50	0	194
86	4	50	0	194
87	4	50	0	194
88	4	50	0	194
89	4	50	-250	194
90	4	50	0	194
91	4	50	0	194
92	4	50	0	194
93	4	50	0	194
94	4	50	0	194
95	4	50	-250	194
96	4	50	0	194
97	4	50	0	194
98	4	50	0	194
99	4	50	0	194
100	4	50	0	194
1	1	100	0	195
2	1	100	0	195
3	1	100	-150	195
4	1	100	0	195
5	1	100	-300	195
6	1	100	0	195
7	3	50	0	195
8	3	50	0	195
9	3	50	-50	195
10	3	50	0	195
11	4	50	0	195
12	4	50	0	195
13	4	50	0	195
14	4	50	0	195
15	4	50	0	195
16	4	50	0	195
17	4	50	0	195
18	4	50	0	195
19	4	50	0	195
20	2	100	0	195
21	2	100	0	195
22	2	100	0	195
23	2	100	0	195
24	2	100	0	195
25	2	100	0	195
26	2	100	0	195
27	2	100	0	195
28	2	100	-1250	195
29	4	50	-250	195
30	4	50	0	195
31	2	100	0	195
32	1	100	-200	195
33	3	50	-50	195
34	2	100	0	195
35	2	100	0	195
36	1	100	0	195
37	1	100	-250	195
38	2	100	0	195
39	2	100	-1250	195
40	4	50	0	195
41	1	100	-350	195
42	4	50	0	195
43	4	50	0	195
44	3	50	0	195
45	3	50	-50	195
